Student_ID,Study_Hours,Attendance,Previous_Score,Extracurricular,Sleep_Hours,Internet_Access,Final_Score,Status
1,19.0,100.0,59.9,1,7.3,1,99.0,Pass
2,13.9,98.9,67.8,1,9.0,1,96.8,Pass
3,20.2,85.9,58.1,0,7.9,1,90.0,Pass
4,27.2,75.3,65.4,1,6.4,1,94.2,Pass
5,13.1,95.5,41.6,0,7.4,1,79.3,Pass
6,13.1,90.9,73.2,0,6.6,1,81.0,Pass
7,27.6,98.4,70.0,0,7.0,1,100.0,Pass
8,21.1,94.5,57.7,0,6.5,1,94.8,Pass
9,11.2,100.0,79.9,1,6.8,1,91.4,Pass
10,19.3,77.0,84.1,0,7.3,0,92.5,Pass
11,11.3,100.0,45.9,0,5.5,1,92.6,Pass
12,11.3,88.0,58.6,1,5.5,1,90.1,Pass
13,16.9,100.0,58.5,0,4.9,1,98.7,Pass
14,2.0,74.7,55.9,0,4.6,1,69.1,Pass
15,2.0,100.0,82.4,0,5.2,1,91.9,Pass
16,10.5,88.0,67.1,1,7.2,1,86.0,Pass
17,6.9,75.2,66.0,1,5.7,1,75.7,Pass
18,17.5,77.7,39.9,0,7.8,1,67.1,Pass
19,7.7,80.2,79.5,0,7.1,1,90.6,Pass
20,3.7,91.4,51.4,0,4.0,1,80.7,Pass
21,26.7,92.8,70.9,1,8.0,1,100.0,Pass
22,13.2,76.4,74.2,0,8.2,1,86.4,Pass
23,15.5,84.6,90.4,0,5.5,1,89.9,Pass
24,3.6,100.0,50.4,0,7.6,0,81.4,Pass
25,10.6,100.0,24.7,0,5.7,1,82.1,Pass
26,15.9,91.5,72.8,0,7.1,1,85.2,Pass
27,5.8,85.6,97.0,1,5.1,1,92.7,Pass
28,18.0,86.8,88.6,0,4.3,1,92.8,Pass
29,10.2,94.2,73.1,0,6.4,1,90.0,Pass
30,12.7,69.7,62.6,1,6.8,1,84.3,Pass
31,10.2,81.1,82.1,1,6.4,0,86.9,Pass
32,29.8,60.0,55.4,0,5.2,1,83.8,Pass
33,14.9,91.0,77.1,0,6.4,1,92.0,Pass
34,6.5,94.7,77.6,0,7.4,1,94.3,Pass
35,21.6,77.8,85.9,1,6.9,1,100.0,Pass
36,5.2,100.0,100.0,0,7.3,1,98.2,Pass
37,16.7,66.6,75.9,1,6.0,1,80.4,Pass
38,2.0,63.0,62.4,1,8.8,1,71.8,Pass
39,4.4,88.4,69.6,0,5.2,1,84.1,Pass
40,16.6,100.0,43.5,0,7.7,1,90.1,Pass
41,20.9,100.0,59.6,0,8.8,1,100.0,Pass
42,16.4,78.1,63.9,0,7.7,0,93.9,Pass
43,14.1,100.0,62.1,0,6.7,1,97.1,Pass
44,12.6,84.4,72.3,1,6.2,1,90.3,Pass
45,3.2,82.4,57.7,1,8.6,1,78.1,Pass
46,9.2,98.3,86.8,0,4.9,1,79.3,Pass
47,11.3,94.8,70.0,1,5.5,1,90.4,Pass
48,23.5,61.4,69.9,0,6.4,1,84.2,Pass
49,17.7,100.0,65.1,0,8.9,1,100.0,Pass
50,2.0,100.0,72.3,0,7.6,1,85.9,Pass
51,17.6,75.6,82.4,1,5.5,1,90.8,Pass
52,11.9,90.9,57.0,1,6.5,1,78.9,Pass
53,9.6,92.4,60.1,1,6.1,1,82.1,Pass
54,19.9,88.9,65.4,0,5.9,1,94.4,Pass
55,23.2,76.7,49.8,0,8.5,0,95.5,Pass
56,22.5,74.9,57.7,0,4.9,1,84.2,Pass
57,8.3,84.6,62.9,0,9.4,0,85.1,Pass
58,12.5,100.0,83.1,1,8.2,1,100.0,Pass
59,17.7,93.2,73.9,1,8.6,1,97.5,Pass
60,22.8,79.4,72.9,1,6.3,1,98.2,Pass
61,11.2,96.6,82.8,0,6.8,1,90.9,Pass
62,13.5,42.3,67.9,0,4.9,1,71.7,Pass
63,6.1,100.0,75.9,0,6.2,1,89.8,Pass
64,5.4,58.9,68.5,0,7.7,1,73.5,Pass
65,21.5,79.6,74.0,0,8.9,1,92.7,Pass
66,25.8,68.2,61.3,1,5.3,1,92.9,Pass
67,14.4,65.6,33.4,1,6.5,1,82.9,Pass
68,23.0,100.0,68.0,0,6.8,0,93.9,Pass
69,17.9,78.0,91.3,0,4.9,0,88.6,Pass
70,9.8,90.2,83.9,0,7.9,1,94.1,Pass
71,17.9,84.3,84.5,0,5.9,1,98.2,Pass
72,27.3,92.2,88.5,1,6.7,1,100.0,Pass
73,14.7,86.2,71.3,0,6.3,1,74.9,Pass
74,27.5,65.8,73.0,0,5.8,1,97.7,Pass
75,2.0,99.9,60.7,0,7.0,1,86.1,Pass
76,21.6,77.6,65.3,1,6.7,1,84.2,Pass
77,15.7,61.7,79.2,0,6.4,1,79.6,Pass
78,12.6,78.6,88.1,0,5.9,1,96.6,Pass
79,15.7,100.0,67.9,0,7.5,1,100.0,Pass
80,2.0,97.8,63.2,1,9.5,1,93.6,Pass
81,13.2,79.8,70.0,1,7.2,1,88.4,Pass
82,17.9,79.8,79.0,0,8.5,1,95.1,Pass
83,26.8,80.2,48.3,1,4.9,1,89.7,Pass
84,10.9,100.0,35.6,1,7.2,1,90.8,Pass
85,8.5,90.7,61.7,1,5.4,1,80.3,Pass
